Being	VBG
very	RB
detailed	JJ
oriented	JJ
	
i	FW
started	VBD
my	PRP$
career	NN
in	IN
Finance	NNP
operations	NNS
	
from	IN
closing	VBG
books	NNS
to	TO
AR	NNP
and	CC
AP	NNP
to	TO
payments	NNS
.	.
	
Currently	RB
	
I	PRP
'm	VBP
leading	VBG
a	DT
team	NN
of	IN
2	CD
and	CC
I	PRP
love	VBP
what	WP
i	FW
am	VBP
doing	VBG
.	.
	
In	IN
my	PRP$
next	JJ
role	NN
	
i	FW
hope	VBP
to	TO
be	VB
given	VBN
the	DT
opportunity	NN
to	TO
extend	VB
my	PRP$
finance	NN
operations	NNS
beyond	IN
Singapore	NNP
scope	NN
to	TO
look	VB
at	IN
a	DT
regional	JJ
remit	NN
.	.
	
I	PRP
am	VBP
very	RB
open	JJ
to	TO
travel	VB
as	IN
I	PRP
'm	VBP
single	JJ
and	CC
mobile	JJ
.	.
